id,name,description,opening_hour,closed_on,website,address
1,Hyvää Matkaa！,北欧専門の旅行会社、フィンツアーが運営している北欧カフェ＆ショップ。フィンランドの雑貨やお菓子が購入できる。カフェではシナモンロールをはじめ季節限定のフィンランドスイーツも楽しめる。フィンランド関連のイベントやワークショップも定期的に開催されている。,11:00 〜 18:00,不定休,https://www.instagram.com/finntour_hmc/,東京都渋谷区神宮前5-18-10 エクサスペース1-A
2,ロバーツコーヒー 麻布十番店,フィンランドNo.1 コーヒーチェーンのカフェ。フィンランドから輸入した豆を使用し、現地でよく飲まれている浅煎りコーヒーを味わうことができる。コーヒー以外のドリンクや食事・スイーツのメニューも充実。季節によってはフィンランドの伝統菓子を販売していることも。キッズ向けのドリンク・フードメニューも用意されている。北欧音楽が背景に流れる落ち着いた内装の中でフィンランドのカフェ文化を体験することができる。,8:00 〜 22:00,-,http://robertscoffee.co.jp/,東京都港区麻布十番2-2-5
3,ロバーツコーヒー メッツァ店,北欧のライフスタイルがテーマのテーマパーク、メッツァビレッジの中にあるフィンランドNo.1 コーヒーチェーン店。フィンランドから輸入した豆を使用し、現地でよく飲まれている浅煎りコーヒーを味わうことができる。コーヒー以外のドリンクメニューも充実。フィンランドデザイナーが手掛けた内装の中で、フィンランドのカフェ文化を体験することができる。,10:00 〜 21:00,-,http://robertscoffee.co.jp/,埼玉県飯能市宮沢327-6 メッツァビレッジ VAIKING HALL
4,ロバーツコーヒー 星天qlay店,フィンランドNo.1 コーヒーチェーンのカフェ。フィンランドから輸入した豆を使用し、現地でよく飲まれている浅煎りコーヒーを味わうことができる。コーヒー以外のドリンクや食事・スイーツのメニューも充実。季節によってはフィンランドの伝統菓子を販売していることも。キッズ向けのドリンク・フードメニューも用意されている。北欧音楽が背景に流れる落ち着いた内装の中でフィンランドのカフェ文化を体験することができる。,8:00 〜 20:30,-,http://robertscoffee.co.jp/,神奈川県横浜市保土ヶ谷区神戸町134番地9　星天qlay D-1
5,ライ麦ハウスベーカリー,鎌倉にあるフィンランド人パン職人のお店。定番のシナモンロール、ライ麦100%のパン、カルヤランピーラッカ（ライスポリッジを使ったパン）など様々な種類のフィンランドパンが用意されている。店内にはイートインスペースが数席あり、パンと一緒にコーヒーを楽しむことができる。人気のパンは早めに売り切れてしまうので早めの来店がおすすめ。,10:00 〜 17:30,月曜・日曜,https://raimugihausu.stores.jp/,神奈川県鎌倉市小町2-8-23 鶴ヶ岡会館第３ビル
6,​KIELO COFFEE​,秋葉原のオフィス街にあるカフェ・スペシャルティコーヒー専門店。自社で選別した高品質のコーヒーを提供している。温かみのある内装の店内にはフィンランドのインテリアブランドArtek（アルテック）のチェアや北欧家具が使われている。,月-金 8:00 / 土日 9:00 〜 19:00,-,https://www.kielocoffee.com/,東京都台東区台東1-29-4 第一共和ビル1F
7,Kirkas,マリメッコやイッタラ、アラビア、ラプアンカンクリ、といったフィンランドブランドのテーブルウェアやファッション雑貨を扱う北欧雑貨店。ヴィンテージ品の取り扱いも有り。隣にはフィンランドスタイルのカフェ「Cafe Sokeri（カフェ ソケリ）」がある。,11:00 〜 17:00,月曜,https://kirkas.stores.jp/,千葉県佐倉市江原497
8,Cafe Sokeri,フィンランドスタイルのカフェ。ドリンクをフィンランドブランドマリメッコのマグカップで提供してくれる。米蔵を改装した広々とした店内でゆっくり時間を過ごすことができる。犬と一緒に入店できる席も有り。お店の隣にはフィンランド雑貨を扱ったお店「Kirkas（キルカス）」も。,11:00 〜 火-金 16:30 / 土日祝 17:00,月曜,https://tsccafe.tsc-kk.jp/#MV,千葉県佐倉市江原497
9,Kielotie,フィンランド好きのご夫婦が経営されているフィンランドカフェ。店内はフィンランド雑貨や家具で揃えられたこだわりの空間。ホットコーヒーを頼むと豊富なマグカップコレクションの中から好きなカップを選ぶことができる。フィンランドの文化や伝統を学べるトークショーや、実際に体験できるワークショップも開催している。,平日14:30 / 土日祝 13:00 〜 20:00,主に火曜・水曜・木曜、お店のSNSを要確認,https://www.instagram.com/kielotie_ogikubo/,東京都杉並区荻窪5-16-20 SNビル信濃屋2F
10,poro 珈琲,フィンランドに駐在経験のあるオーナーが経営されているフィンランド風カフェ。フィンランドで飲まれているコーヒーを日本向けにアレンジしたオリジナルブレンドコーヒーを提供している。フィンランドのスープをアレンジしたうどん等、こだわりの食事メニューも。店内にはフィンランドの風景を撮影した写真も展示されている。,11:00 / 火 12:00 〜 20:00,-,http://www.poro-coffee.com/tervetuloa.html,神奈川県横浜市保土ヶ谷区天王町1-11-4 矢澤ビル1階
11,Juhla Tokyo,フィンランド・エストニア・谷根千音楽を扱うお店。カフェ&バーもあり、フィンランドのお酒を飲むことができる。,水木 18:00 / 土 14:00 / 日 13:00 〜 23:00 / 日 21:00,月曜・火曜・金曜,https://juh.la/,東京都文京区千駄木5丁目38-9
12,Artek Tokyo Store,フィンランドを代表するインテリアブランドの日本初直営店。家具や証明、テキスタイルを取り扱っている。,11/00 〜 19:00,火曜,https://webstorejapan.artek.fi/,東京都渋谷区神宮前5 –9 –20
13,アンドフィーカ​「北欧と、日本と、デザイン。」,北欧デザインに特化したライセンス会社が運営する、雑貨・アート作品を販売するお店。フィンランドのアーティストの作品を購入することができる。,11:00 〜 18:00,土日祝,https://www.andfika.com/,東京都目黒区下目黒5-3-13
14,pieni-krone ピエニ・クローネ,「おうち時間をもっと楽しく」をコンセプトにした、北欧雑貨の専門店。フィンランド、スウェーデン、デンマークから輸入したアイテムを販売。ムーミングッズが多く揃えられている。近くに同じ系列の北欧雑貨店「krone-hus クローネ・フス」もあり。,10:30 〜 18:00,水曜,https://www.hokuouzakka-krone.com/?mode=f1,神奈川県鎌倉市御成町5-6 1-C
